profile,config,strategy,quantity,maxError,referenceMax
exponential,3,combined,Ag_0,4.48757015678468e-25,1.35977452445576e-09
exponential,3,combined,Aw_p,7.50388640859459e-22,1.85236963088761e-06
exponential,3,combined,Aw_m,5.68225669476983e-22,1.15728890167165e-06
exponential,3,combined,Aio,3.59434486136482e-22,1.77391477909361e-06
exponential,3,combined,Amda,0,1.59354693638734e-07
exponential,3,combined,u,1.71259474022979e-20,3.77690434524703e-07
exponential,3,combined,v,1.41613320869078e-20,2.14261760522163e-07
exponential,3,combined,w,9.3173624197973e-19,2.81076258919805e-05
exponential,3,combined,eta,0,9.09829023434556e-06
exponential,4,baseline,Ag_q,0,3.89886827476676e-12
exponential,4,baseline,Ag_0,0,1.35977452458601e-09
exponential,4,baseline,Aw_p,0,1.85236949642969e-06
exponential,4,baseline,Aw_m,0,1.15728878769832e-06
exponential,4,baseline,Aio,0,1.77391477909361e-06
exponential,4,baseline,Amda,0,1.59354693638794e-07
exponential,4,baseline,u,0,3.7769043451597e-07
exponential,4,baseline,v,0,2.15102081869165e-07
exponential,4,baseline,w,0,2.79685119021857e-05
exponential,4,baseline,eta,0,9.10185524939322e-06
exponential,4,setup,Ag_q,0,3.89886827476676e-12
exponential,4,setup,Ag_0,0,1.35977452458601e-09
exponential,4,setup,Aw_p,0,1.85236949642969e-06
exponential,4,setup,Aw_m,0,1.15728878769832e-06
exponential,4,setup,Aio,0,1.77391477909361e-06
exponential,4,setup,Amda,0,1.59354693638794e-07
exponential,4,setup,u,0,3.7769043451597e-07
exponential,4,setup,v,0,2.15102081869165e-07
exponential,4,setup,w,0,2.79685119021857e-05
exponential,4,setup,eta,0,9.10185524939322e-06
exponential,4,source,Ag_q,0,3.89886827476676e-12
exponential,4,source,Ag_0,0,1.35977452458601e-09
exponential,4,source,Aw_p,0,1.85236949642969e-06
exponential,4,source,Aw_m,0,1.15728878769832e-06
exponential,4,source,Aio,0,1.77391477909361e-06
exponential,4,source,Amda,0,1.59354693638794e-07
exponential,4,source,u,0,3.7769043451597e-07
exponential,4,source,v,0,2.15102081869165e-07
exponential,4,source,w,0,2.79685119021857e-05
exponential,4,source,eta,0,9.10185524939322e-06
exponential,4,spectral,Ag_q,5.86060473285096e-28,3.89886827476676e-12
exponential,4,spectral,Ag_0,8.5701729352538e-25,1.35977452458601e-09
exponential,4,spectral,Aw_p,1.30947658675775e-21,1.85236949642969e-06
exponential,4,spectral,Aw_m,1.57033494274164e-21,1.15728878769832e-06
exponential,4,spectral,Aio,6.59718544464937e-22,1.77391477909361e-06
exponential,4,spectral,Amda,0,1.59354693638794e-07
exponential,4,spectral,u,1.40978046158638e-19,3.7769043451597e-07
exponential,4,spectral,v,8.16063305120315e-20,2.15102081869165e-07
exponential,4,spectral,w,5.36341262201423e-18,2.79685119021857e-05
exponential,4,spectral,eta,0,9.10185524939322e-06
exponential,4,combined,Ag_q,5.86060473285096e-28,3.89886827476676e-12
exponential,4,combined,Ag_0,8.5701729352538e-25,1.35977452458601e-09
exponential,4,combined,Aw_p,1.30947658675775e-21,1.85236949642969e-06
exponential,4,combined,Aw_m,1.57033494274164e-21,1.15728878769832e-06
exponential,4,combined,Aio,6.59718544464937e-22,1.77391477909361e-06
exponential,4,combined,Amda,0,1.59354693638794e-07
exponential,4,combined,u,1.40978046158638e-19,3.7769043451597e-07
exponential,4,combined,v,8.16063305120315e-20,2.15102081869165e-07
exponential,4,combined,w,5.36341262201423e-18,2.79685119021857e-05
exponential,4,combined,eta,0,9.10185524939322e-06
