profile,Nz,Lxy,family,kappa,i,j,channel,mixed,aliasError,referenceError,fullReferenceError
sharp,65,100000,apv,0,18,21,FG,0,3.6048703635699e-05,3.37002829159642e-15,1.3361936517079e-14
sharp,65,100000,apv,0,19,19,FG,0,3.34729727938074e-05,3.25259617210729e-15,1.6594483379336e-14
sharp,65,100000,apv,0,19,20,FG,0,3.22672642920931e-05,2.94204374023517e-15,1.36248019289235e-14
sharp,65,100000,apv,0,20,19,FG,0,2.82228870892959e-05,2.49021690573314e-15,1.28604948663859e-14
sharp,65,100000,apv,0,20,20,FG,0,5.15760353003874e-05,3.18651192280083e-15,1.71708403440899e-14
sharp,65,100000,apv,0,20,21,FG,0,4.55851248779233e-05,3.49057891789614e-15,1.42387049847558e-14
sharp,65,100000,apv,0,21,18,FG,0,2.50947099834827e-05,2.44708974441161e-15,1.22396449697548e-14
sharp,65,100000,apv,0,21,21,FG,0,7.75169328589995e-05,4.5001681693938e-15,1.86553896712121e-14
sharp,65,100000,apv,0,21,22,FG,0,6.82649071706629e-05,3.1050376689699e-15,1.5009157056661e-14
sharp,65,100000,apv,0,22,17,FG,0,2.77517383410262e-05,2.83043241143884e-15,1.17203238952576e-14
sharp,65,100000,apv,0,22,22,FG,0,0.00011705555264663,4.37215401644903e-15,1.89424890571848e-14
sharp,65,100000,apv,0,22,23,FG,0,0.000102840811093253,3.35694551144097e-15,1.42683562413787e-14
sharp,65,100000,apv,0,23,16,FG,0,3.05812232289796e-05,2.59504170201253e-15,1.17187384670356e-14
sharp,65,100000,apv,0,23,23,FG,0,0.000165908994172915,4.68606137658587e-15,1.91901910174202e-14
sharp,65,100000,apv,0,23,24,FG,0,0.000135006810319189,4.15130537353273e-15,1.60127479356538e-14
sharp,65,100000,apv,0,24,15,FG,0,3.60665437908624e-05,2.58203016847126e-15,1.1977569761087e-14
sharp,65,100000,apv,0,24,24,FG,0,0.000245089380329965,5.30133905235051e-15,1.94947454440711e-14
sharp,65,100000,apv,0,24,25,FG,0,0.000752711313454963,4.59910531827399e-15,1.62792543846468e-14
sharp,65,100000,apv,0,25,14,FG,0,4.61076392327485e-05,2.35901957397685e-15,1.10256024781603e-14
sharp,65,100000,apv,0,25,25,FG,0,0.00154395428550717,5.9892842307448e-15,2.07932171638812e-14
sharp,65,100000,apv,0,25,26,FG,0,0.00535764478761003,3.10992842734531e-15,1.68821207912546e-14
sharp,65,100000,apv,0,26,13,FG,0,4.82018893545991e-05,2.46740603260324e-15,1.11343040388574e-14
sharp,65,100000,apv,0,26,26,FG,0,0.00975498757248218,4.32392828247476e-15,2.14566879239026e-14
sharp,65,100000,apv,0,26,27,FG,0,0.0254554705013787,4.89255883663637e-15,1.82426776031134e-14
sharp,65,100000,apv,0,27,12,FG,0,6.59802105783529e-05,2.74453509472317e-15,1.2160056770922e-14
sharp,65,100000,apv,0,27,27,FG,0,0.0430520780699992,6.79774373197916e-15,2.43523554780073e-14
sharp,65,100000,apv,0,27,28,FG,0,0.0866675362259877,4.09155810228573e-15,1.86118355735967e-14
sharp,65,100000,apv,0,28,11,FG,0,6.74414656886354e-05,2.75975009252758e-15,1.17577797017697e-14
sharp,65,100000,apv,0,28,28,FG,0,0.137147112790994,6.05337531538588e-15,2.32105739551113e-14
sharp,65,100000,apv,0,28,29,FG,0,0.210738426194488,4.62644932929263e-15,1.84812811246015e-14
sharp,65,100000,apv,0,29,10,FG,0,8.32384102054681e-05,2.91023059264844e-15,1.22256502289166e-14
sharp,65,100000,apv,0,29,29,FG,0,0.311724955360647,5.78152350694761e-15,2.38375408561352e-14
sharp,65,100000,apv,0,29,30,FG,0,0.354714537380002,4.91769683266927e-15,2.01655587626997e-14
sharp,65,100000,apv,0,30,9,FG,0,0.000102120037233507,2.52185601397357e-15,1.18304590543626e-14
sharp,65,100000,apv,0,30,30,FG,0,0.488841310052859,6.69516842108048e-15,2.44889081047894e-14
sharp,65,100000,apv,0,30,31,FG,0,0.409704252545651,4.92679734484068e-15,1.99715628599567e-14
sharp,65,100000,apv,0,31,8,FG,0,9.0005631899786e-05,2.89131754885503e-15,1.19048590516214e-14
sharp,65,100000,apv,0,31,31,FG,0,0.535574219578391,6.45850724973204e-15,2.65980876958232e-14
sharp,65,100000,apv,0,31,32,FG,0,0.419967650538558,4.25102298463394e-15,2.10628596707092e-14
sharp,65,100000,apv,0,32,7,FG,0,0.000155772219585338,2.97083582637879e-15,1.2506404296194e-14
sharp,65,100000,apv,0,32,32,FG,0,0.561742660771608,6.25872989065287e-15,2.68414690365939e-14
sharp,65,100000,apv,0,32,33,FG,0,0.463962277239353,6.44710077728626e-15,2.22984126908991e-14
sharp,65,100000,apv,0,33,6,FG,0,9.77370891480997e-05,2.50415669568739e-15,1.20465108818167e-14
sharp,65,100000,apv,0,33,33,FG,0,0.60770735403687,8.02212659081209e-15,2.72468232640208e-14
sharp,65,100000,apv,0,33,34,FG,0,0.469905289727643,4.22244251617413e-15,2.36283510916507e-14
