triple,inputA,inputB,output,channel,error,modeA,modeB,referenceStability,eigenConvergence,gramError,productCount
16,apv,boundary,wave,G*dG->G,0.00180831517932637,3,2,1.11022302462516e-15,5.73681637978046e-11,0.000781377838735263,8
16,apv,boundary,apv,G*dF->F,0.00107340585149293,3,2,1.55431223447522e-15,5.73681637978046e-11,2.12126980544059e-07,8
16,apv,boundary,apv,F*F->F,0.000143145267186477,-1,1,1.77635683940025e-15,5.73681637978046e-11,2.12126980544059e-07,8
16,apv,boundary,apv,G*G->F,0.00107340585149297,3,2,1.55431223447522e-15,5.73681637978046e-11,2.12126980544059e-07,8
17,wave,wave,wave,F*G->G,0.389208072012641,8,8,1.5846655402087e-15,1.34767072184033e-11,0.000781377983950812,64
17,wave,wave,wave,G*dG->G,0.389208072012641,8,8,1.7623389972394e-15,1.34767072184033e-11,0.000781377983950812,64
17,wave,wave,apv,G*dF->F,0.00858234629395604,8,7,1.22418575601384e-15,1.66950581942882e-11,2.12126980544059e-07,64
17,wave,wave,apv,F*F->F,0.00858191960822752,8,7,1.99314312943012e-15,1.66950581942882e-11,2.12126980544059e-07,64
17,wave,wave,apv,G*G->F,0.00858234629395601,8,7,1.21976866979952e-15,1.66950581942882e-11,2.12126980544059e-07,64
17,wave,apv,wave,F*G->G,0.00398389336645213,8,3,5.83487985058537e-16,1.66950581942882e-11,0.000781377983950812,32
17,wave,apv,wave,G*dG->G,0.00915452049393067,8,3,1.5833565037327e-15,1.66950581942882e-11,0.000781377983950812,32
17,wave,apv,apv,G*dF->F,0.000284278335381233,8,3,1.42552405333119e-15,1.66950581942882e-11,2.12126980544059e-07,32
17,wave,apv,apv,F*F->F,0.000283975275178218,8,3,1.56202631486951e-15,1.66950581942882e-11,2.12126980544059e-07,32
17,wave,apv,apv,G*G->F,0.000284278335381534,8,3,1.22660347776475e-15,1.66950581942882e-11,2.12126980544059e-07,32
17,apv,wave,wave,F*G->G,0.0091545204939309,3,8,2.0754299653642e-15,1.66950581942882e-11,0.000781377983950812,32
17,apv,wave,wave,G*dG->G,0.0039838933664521,3,8,7.65730336485931e-16,1.66950581942882e-11,0.000781377983950812,32
17,apv,wave,apv,G*dF->F,0.000284278335381355,3,8,1.73842211706483e-15,1.66950581942882e-11,2.12126980544059e-07,32
17,apv,wave,apv,F*F->F,0.000283975275178218,3,8,1.56202631486951e-15,1.66950581942882e-11,2.12126980544059e-07,32
17,apv,wave,apv,G*G->F,0.000284278335381534,3,8,1.22660347776475e-15,1.66950581942882e-11,2.12126980544059e-07,32
17,wave,boundary,wave,F*G->G,0.000823306208782373,1,2,3.33066907387547e-16,1.59122271709527e-11,0.000781377983950812,16
