profile,Nz,Lxy,family,kappa,policy,retainedFraction,energyFraction,bandwidthFraction,linearCount,retainedCount,apvCount,sampleCount,maximumAliasError,p95AliasError,maximumReferenceError,maximumFullReferenceError,scoreSeconds,linearConstructionSeconds,fineCount,referenceCount,coarseAgreement
constant,65,100000,wave,6.28318530717959e-05,none,0.666666666666667,0.99,0.666666666666667,38,38,38,564,0.700750521350896,0.426989293803859,5.80573618300403e-15,2.44992693332592e-14,0.000105333333333333,2.06213470833333,415,829,0
constant,65,100000,wave,6.28318530717959e-05,fixedFraction,0.5,0.99,0.666666666666667,38,19,19,168,1.93031273214115e-10,1.20988059955316e-11,2.6735572753533e-15,1.24431630508112e-14,0.000172916666666667,2.06213470833333,415,829,0
constant,65,100000,wave,6.28318530717959e-05,fixedFraction,0.666666666666667,0.99,0.666666666666667,38,25,25,291,0.00186372937613422,0.000240341347089539,3.16482197053702e-15,1.56959823026567e-14,8.81666666666667e-05,2.06213470833333,415,829,0
constant,65,100000,wave,6.28318530717959e-05,fixedFraction,0.75,0.99,0.666666666666667,38,28,28,354,0.138447158635501,0.0134068333697101,4.01925329464487e-15,1.74280755642452e-14,8.35833333333333e-05,2.06213470833333,415,829,0
constant,65,100000,wave,6.28318530717959e-05,effectiveBandwidth,0.666666666666667,0.95,0.5,38,21,21,207,1.38455077988925e-07,6.08709500543956e-09,2.83724012492119e-15,1.35311714006953e-14,0.00119070833333333,2.06213470833333,415,829,0
constant,65,100000,wave,6.28318530717959e-05,effectiveBandwidth,0.666666666666667,0.95,0.666666666666667,38,27,27,333,0.0440161318865477,0.00302891311514305,3.80460239861432e-15,1.73312590145635e-14,0.00114958333333333,2.06213470833333,415,829,0
constant,65,100000,wave,6.28318530717959e-05,effectiveBandwidth,0.666666666666667,0.95,0.75,38,31,31,417,0.534821394394946,0.22064809527083,4.46430257351173e-15,2.07440214099073e-14,0.00116566666666667,2.06213470833333,415,829,0
constant,65,100000,wave,6.28318530717959e-05,effectiveBandwidth,0.666666666666667,0.99,0.5,38,20,20,186,6.08724543072367e-09,1.46222348370121e-09,2.6735572753533e-15,1.31717234407025e-14,0.00115670833333333,2.06213470833333,415,829,0
constant,65,100000,wave,6.28318530717959e-05,effectiveBandwidth,0.666666666666667,0.99,0.666666666666667,38,26,26,312,0.010325611808764,0.000948064605597571,3.5929698023385e-15,1.70939864818204e-14,0.00117645833333333,2.06213470833333,415,829,0
constant,65,100000,wave,6.28318530717959e-05,effectiveBandwidth,0.666666666666667,0.99,0.75,38,30,30,396,0.488924136504111,0.132152131385432,4.21672132147357e-15,1.90734015016438e-14,0.001151875,2.06213470833333,415,829,0
constant,65,100000,wave,6.28318530717959e-05,effectiveBandwidth,0.666666666666667,0.999,0.5,38,18,18,159,5.19201834572853e-12,8.59451961139451e-13,2.6735572753533e-15,1.18728593209943e-14,0.001170125,2.06213470833333,415,829,0
constant,65,100000,wave,6.28318530717959e-05,effectiveBandwidth,0.666666666666667,0.999,0.666666666666667,38,25,25,291,0.00186372937613422,0.000240341347089539,3.16482197053702e-15,1.56959823026567e-14,0.00114641666666667,2.06213470833333,415,829,0
