profile,Nz,Lxy,family,kappa,i,j,channel,mixed,aliasError,referenceError,fullReferenceError
exponential,33,100000,apv,0,8,9,FF,0,6.85685326862979e-09,9.92177099965544e-16,3.44201395811108e-15
exponential,33,100000,apv,0,8,11,FF,0,5.99714742031863e-07,1.2366144027927e-15,3.84371360277037e-15
exponential,33,100000,apv,0,9,9,FF,0,6.012076664538e-08,8.71329201759856e-16,3.23940745864484e-15
exponential,33,100000,apv,0,9,10,FF,0,5.85008196870429e-07,1.16242699865661e-15,3.72171060977945e-15
exponential,33,100000,apv,0,10,9,FF,0,5.85008196870429e-07,1.16242699865661e-15,3.72171060977945e-15
exponential,33,100000,apv,0,10,10,FF,0,2.96266689054108e-06,1.04956742698332e-15,3.77095210822222e-15
exponential,33,100000,apv,0,10,11,FF,0,2.31905337754003e-05,9.19307751177797e-16,4.12767373009102e-15
exponential,33,100000,apv,0,11,8,FF,0,5.99714742031863e-07,1.2366144027927e-15,3.84371360277037e-15
exponential,33,100000,apv,0,11,11,FF,0,7.44274582677178e-05,8.64909796363021e-16,3.9080550563928e-15
exponential,33,100000,apv,0,11,12,FF,0,0.000476299300591981,1.00368494013936e-15,4.20742494553858e-15
exponential,33,100000,apv,0,12,7,FF,0,6.00042745265193e-07,1.06032740604502e-15,3.82721238054297e-15
exponential,33,100000,apv,0,12,12,FF,0,0.00104862102015376,1.34137651780316e-15,4.36322041183563e-15
exponential,33,100000,apv,0,12,13,FF,0,0.00542334575622221,1.36284568292427e-15,5.2205309661017e-15
exponential,33,100000,apv,0,13,6,FF,0,5.94352438277203e-07,1.09846643041291e-15,4.03287328381801e-15
exponential,33,100000,apv,0,13,13,FF,0,0.00882366714992039,1.03684517673236e-15,5.17045250170873e-15
exponential,33,100000,apv,0,13,14,FF,0,0.0354374450706082,1.36780987478965e-15,5.99980021080293e-15
exponential,33,100000,apv,0,14,5,FF,0,5.82342294930432e-07,1.47788473116376e-15,4.15264530509398e-15
exponential,33,100000,apv,0,14,14,FF,0,0.04572192149776,1.59864459505277e-15,5.86617728930482e-15
exponential,33,100000,apv,0,14,15,FF,0,0.133095042325838,1.82180542959182e-15,6.467660676226e-15
exponential,33,100000,apv,0,15,4,FF,0,5.60533911543048e-07,1.62264883430298e-15,4.72350550006051e-15
exponential,33,100000,apv,0,15,15,FF,0,0.144826481870597,1.37174888349801e-15,5.86372865437031e-15
exponential,33,100000,apv,0,15,16,FF,0,0.27759039355432,1.60429450725009e-15,6.14938317615063e-15
exponential,33,100000,apv,0,16,3,FF,0,5.18632897078281e-07,1.63978664566428e-15,4.91462700483133e-15
exponential,33,100000,apv,0,16,16,FF,0,0.267616279632017,1.96068195266047e-15,6.26592626832447e-15
exponential,33,100000,apv,0,16,17,FF,0,0.324245501701507,2.2530553146406e-15,7.07442998401677e-15
exponential,33,100000,apv,0,17,2,FF,0,4.02076915533768e-07,1.63943011280638e-15,5.52941854662249e-15
