time,energy,volume,densityMoment,densitySquaredMoment,minimumLabel,maximumLabel,profile,caseName,variant,config,deltaT
487,8.29593142863294e-07,1000,5224.26061558918,36390.5260070397,-999.9998,-0.000199999999675881,constant,linear,density,4,5
327,8.29593199635862e-07,1000,5224.26061558922,36390.5260070404,-999.9998,-0.000199999999999994,constant,linear,displacement,5,20
367,8.2959319963602e-07,999.999999999999,5224.26061558925,36390.5260070402,-999.9998,-0.000199999999979929,constant,linear,displacement,5,20
407,8.29593199636119e-07,1000,5224.26061558922,36390.5260070402,-999.9998,-0.000199999999957746,constant,linear,displacement,5,20
447,8.29593199636156e-07,1000,5224.26061558922,36390.5260070402,-999.9998,-0.000199999999933841,constant,linear,displacement,5,20
487,8.29593199636124e-07,1000,5224.26061558921,36390.5260070402,-999.9998,-0.00019999999990903,constant,linear,displacement,5,20
327,8.29593199635862e-07,1000,5224.26061558922,36390.5260070404,-999.9998,-0.000199999999999994,constant,linear,displacement,5,10
367,8.29593199636021e-07,999.999999999999,5224.26061558925,36390.5260070402,-999.9998,-0.000199999999979929,constant,linear,displacement,5,10
407,8.29593199636122e-07,1000,5224.26061558922,36390.5260070402,-999.9998,-0.000199999999957746,constant,linear,displacement,5,10
447,8.29593199636154e-07,1000,5224.26061558922,36390.5260070402,-999.9998,-0.000199999999933841,constant,linear,displacement,5,10
487,8.29593199636123e-07,1000,5224.26061558921,36390.5260070402,-999.9998,-0.00019999999990903,constant,linear,displacement,5,10
327,8.29593199635862e-07,1000,5224.26061558922,36390.5260070404,-999.9998,-0.000199999999999994,constant,linear,displacement,5,5
367,8.29593199636021e-07,999.999999999999,5224.26061558925,36390.5260070402,-999.9998,-0.000199999999979929,constant,linear,displacement,5,5
407,8.29593199636121e-07,1000,5224.26061558922,36390.5260070402,-999.9998,-0.000199999999957746,constant,linear,displacement,5,5
447,8.29593199636157e-07,1000,5224.26061558922,36390.5260070402,-999.9998,-0.000199999999933841,constant,linear,displacement,5,5
487,8.29593199636126e-07,1000,5224.26061558921,36390.5260070402,-999.9998,-0.00019999999990903,constant,linear,displacement,5,5
327,8.29593199635813e-07,1000,5224.26061558922,36390.5260070404,-999.9998,-0.000199999999999988,constant,linear,density,5,20
367,8.29593199635973e-07,999.999999999999,5224.26061558925,36390.5260070402,-999.9998,-0.000199999999979933,constant,linear,density,5,20
407,8.29593199636072e-07,1000,5224.26061558922,36390.5260070402,-999.9998,-0.000199999999957751,constant,linear,density,5,20
