profile,amplitude,time,config,form,family,rmsError,referenceRMS
constant,0.0001,327,7,compatible,Aio,7.53390065681607e-28,3.55607480344103e-13
constant,0.0001,327,7,compatible,Amda,4.88433480525617e-25,1.15039457293025e-13
constant,0.0001,901,1,divergence,Ag_q,1.62160535223305e-30,2.21695126049837e-19
constant,0.0001,901,1,divergence,Ag_0,1.91245448489909e-25,4.16044640953703e-17
constant,0.0001,901,1,divergence,Aw_p,4.13588987549554e-14,7.1933649720372e-14
constant,0.0001,901,1,divergence,Aw_m,4.13588987550578e-14,3.64450295971286e-14
constant,0.0001,901,1,divergence,Aio,1.07043505222624e-22,3.46615323537481e-13
constant,0.0001,901,1,divergence,Amda,8.7436785282935e-24,7.30245827231335e-14
constant,0.0001,901,1,advective,Ag_q,4.16412486993625e-30,2.21695126049837e-19
constant,0.0001,901,1,advective,Ag_0,1.35934146876714e-25,4.16044640953703e-17
constant,0.0001,901,1,advective,Aw_p,4.13588987549555e-14,7.1933649720372e-14
constant,0.0001,901,1,advective,Aw_m,4.13588987550579e-14,3.64450295971286e-14
constant,0.0001,901,1,advective,Aio,1.07086394342389e-22,3.46615323537481e-13
constant,0.0001,901,1,advective,Amda,6.86576410862995e-25,7.30245827231335e-14
