profile,amplitude,time,config,form,field,rmsError,maxError,referenceRMS
constant,0.0001,327,6,split,w,6.95687701475137e-12,5.89944677036249e-10,9.80302157207727e-10
constant,0.0001,327,6,split,eta,2.19240694458823e-23,3.36016324942623e-22,1.63828788503068e-12
constant,0.0001,327,6,compatible,u,4.73169265293985e-19,1.02963626325819e-18,8.45087516946706e-14
constant,0.0001,327,6,compatible,v,2.74631364985222e-19,6.93850770855662e-19,3.17472434320704e-14
constant,0.0001,327,6,compatible,w,6.95687701475137e-12,5.89944677036249e-10,9.80302157207727e-10
constant,0.0001,327,6,compatible,eta,8.55308769526704e-18,1.77574862334931e-17,1.63828788503068e-12
constant,0.0001,327,7,divergence,u,2.04623861520207e-29,1.51461293802434e-28,8.44684914013982e-14
constant,0.0001,327,7,divergence,v,7.72983672165427e-30,6.31088724176809e-29,3.1724114849413e-14
constant,0.0001,327,7,divergence,w,1.48926833347502e-25,9.92616735063633e-24,6.94526824341835e-10
constant,0.0001,327,7,divergence,eta,3.9859976616119e-28,4.03896783473158e-27,1.64147153887034e-12
constant,0.0001,327,7,advective,u,1.97951131167243e-25,4.88013337341237e-24,8.44684914013982e-14
constant,0.0001,327,7,advective,v,8.73872233442297e-26,3.30347179202696e-24,3.1724114849413e-14
constant,0.0001,327,7,advective,w,1.49273343813471e-25,9.92616735063633e-24,6.94526824341835e-10
constant,0.0001,327,7,advective,eta,1.67651474115508e-23,3.34241955885728e-22,1.64147153887034e-12
constant,0.0001,327,7,split,u,9.89756517801869e-26,2.44006668670618e-24,8.44684914013982e-14
constant,0.0001,327,7,split,v,4.36936116583889e-26,1.65173589601348e-24,3.1724114849413e-14
constant,0.0001,327,7,split,w,1.49416665028394e-25,9.92616735063633e-24,6.94526824341835e-10
constant,0.0001,327,7,split,eta,8.38257370742951e-24,1.67120977942864e-22,1.64147153887034e-12
constant,0.0001,327,7,compatible,u,1.17208117433501e-19,2.52892747706886e-19,8.44684914013982e-14
constant,0.0001,327,7,compatible,v,6.80362510301006e-20,1.71086415352111e-19,3.1724114849413e-14
constant,0.0001,327,7,compatible,w,7.92482757550631e-22,1.84667488626482e-21,6.94526824341835e-10
constant,0.0001,327,7,compatible,eta,2.11817584174395e-18,4.36312472860598e-18,1.64147153887034e-12
constant,0.0001,901,1,divergence,u,7.00123497148325e-24,1.47332616705561e-23,9.34182007903994e-14
constant,0.0001,901,1,divergence,v,5.81350034052714e-24,1.6599015530156e-23,3.24586469391015e-14
constant,0.0001,901,1,divergence,w,1.0240440672828e-23,1.02020253827605e-22,2.4137672519668e-09
constant,0.0001,901,1,divergence,eta,1.03261297287806e-22,2.37174909194907e-22,1.36671674220799e-12
constant,0.0001,901,1,advective,u,2.56676504626686e-25,1.99091768626593e-24,9.34182007903994e-14
constant,0.0001,901,1,advective,v,4.16541264649651e-25,2.75398599532983e-24,3.24586469391015e-14
constant,0.0001,901,1,advective,w,1.02340651695492e-23,1.01999425533125e-22,2.4137672519668e-09
constant,0.0001,901,1,advective,eta,6.49808214974278e-23,2.66494074107785e-22,1.36671674220799e-12
constant,0.0001,901,1,split,u,3.56299949072583e-24,8.36208652296739e-24,9.34182007903994e-14
constant,0.0001,901,1,split,v,3.06569797917888e-24,9.61372478962726e-24,3.24586469391015e-14
constant,0.0001,901,1,split,w,1.02371489001836e-23,1.02009839285934e-22,2.4137672519668e-09
constant,0.0001,901,1,split,eta,5.88619258237777e-23,2.0057181367975e-22,1.36671674220799e-12
constant,0.0001,901,1,compatible,u,3.55291255761694e-17,6.13798513917378e-17,9.34182007903994e-14
constant,0.0001,901,1,compatible,v,2.05921330595994e-17,4.75161767572385e-17,3.24586469391015e-14
constant,0.0001,901,1,compatible,w,2.41769840269326e-19,5.07284344806229e-19,2.4137672519668e-09
constant,0.0001,901,1,compatible,eta,6.45962485810881e-16,1.08466498092771e-15,1.36671674220799e-12
constant,0.0001,901,2,divergence,u,1.89640598206443e-25,2.05330711753805e-24,9.31774486249301e-14
constant,0.0001,901,2,divergence,v,2.20688875240358e-25,2.76283070379917e-24,3.22890203108152e-14
constant,0.0001,901,2,divergence,w,7.50375792277822e-24,1.03879815129099e-22,1.73245866547309e-09
constant,0.0001,901,2,divergence,eta,4.58413367850833e-23,2.66291822793461e-22,1.38726640031185e-12
constant,0.0001,901,2,advective,u,1.89229286430665e-25,2.04033824425621e-24,9.31774486249301e-14
constant,0.0001,901,2,advective,v,2.19800610124841e-25,2.75377773605085e-24,3.22890203108152e-14
constant,0.0001,901,2,advective,w,7.50375226406204e-24,1.03879797774159e-22,1.73245866547309e-09
constant,0.0001,901,2,advective,eta,4.58864619318804e-23,2.66494115128552e-22,1.38726640031185e-12
constant,0.0001,901,2,split,u,1.8942850907383e-25,2.04682583634075e-24,9.31774486249301e-14
constant,0.0001,901,2,split,v,2.20243696615661e-25,2.75830579764682e-24,3.22890203108152e-14
constant,0.0001,901,2,split,w,7.50375509352422e-24,1.03879806451629e-22,1.73245866547309e-09
constant,0.0001,901,2,split,eta,4.58638951220683e-23,2.66392973694172e-22,1.38726640031185e-12
