family,absoluteError,referenceNorm,relativeError,referenceChange,allowanceFraction,referenceFraction,profile,amplitude,time,direction,count,status,referenceNz,withoutBuoyancyError,minimumGamma,maximumSSHOverDepth
Ag_q,6.40125392167371e-24,1.85407120953713e-14,3.45253941097105e-10,2.7030127355178e-23,1.71085788039274e-06,0.000138327238143899,constant,0.01,327,vertical,17,rejected,1025,3.45253941097105e-10,0.999971780255779,2.8219744220725e-05
Ag_0,7.78954661630089e-20,2.59122821607734e-12,3.0061214091335e-08,3.80379371497923e-19,0.000176787998378635,0.0146738380956877,constant,0.01,327,vertical,17,rejected,1025,3.0061214091335e-08,0.999971780255779,2.8219744220725e-05
Aw_p,4.56335440895786e-11,7.03471790234882e-09,0.00648690462404215,1.86968790156941e-14,6.48956150235818,0.265780044309253,constant,0.01,327,vertical,17,rejected,1025,5.60929488647153e-10,0.999971780255779,2.8219744220725e-05
Aw_m,4.56335440793997e-11,3.58373666432905e-09,0.0127335092819783,1.86968790153267e-14,12.7387228738357,0.521714499401761,constant,0.01,327,vertical,17,rejected,1025,1.51959768204357e-09,0.999971780255779,2.8219744220725e-05
Aio,1.82836071306397e-18,6.07380887208267e-09,3.0102374828878e-10,6.22833758143288e-23,3.01033953144278e-07,1.02544164414176e-09,constant,0.01,327,vertical,17,rejected,1025,3.0102374828878e-10,0.999971780255779,2.8219744220725e-05
Amda,3.20551195962191e-19,1.42889198720072e-09,2.24335498297649e-10,4.85659053273439e-19,5.64220173559002e-07,3.39884832260862e-05,constant,0.01,327,vertical,17,rejected,1025,2.24335498297649e-10,0.999971780255779,2.8219744220725e-05
Ag_q,6.82166306839434e-24,1.85407120953713e-14,3.67928860191803e-10,2.7030127355178e-23,1.73237240579328e-06,0.000138327238143899,constant,0.01,327,vertical,25,rejected,1025,3.67928860191803e-10,0.999971780255779,2.8219744220725e-05
Ag_0,8.15669961565615e-20,2.59122821607734e-12,3.14781213211855e-08,3.80379371497923e-19,0.000178204359010303,0.0146738380956877,constant,0.01,327,vertical,25,rejected,1025,3.14781213211855e-08,0.999971780255779,2.8219744220725e-05
Aw_p,2.00892537008854e-11,7.03471790234882e-09,0.00285572982168592,1.86968790156941e-14,2.85838721618105,0.265780044309253,constant,0.01,327,vertical,25,rejected,1025,2.1041273900694e-14,0.999971780255779,2.8219744220725e-05
Aw_m,2.00892537008859e-11,3.58373666432905e-09,0.00560567239798771,1.86968790153267e-14,5.61088797878453,0.521714499401761,constant,0.01,327,vertical,25,rejected,1025,6.79811450785007e-14,0.999971780255779,2.8219744220725e-05
Aio,2.15995728324858e-23,6.07380887208267e-09,3.55618250217996e-15,6.22833758143288e-23,1.3810598358103e-11,1.02544164414176e-09,constant,0.01,327,vertical,25,rejected,1025,3.55618250217996e-15,0.999971780255779,2.8219744220725e-05
