profile,amplitude,time,direction,count,field,absoluteError,referenceNorm
constant,0.1,901,horizontal,12,v,5.22027205713672e-20,4.28895825809222e-07
constant,0.1,901,horizontal,12,w,1.3082972222246e-07,1.05073339914005e-05
constant,0.1,901,horizontal,12,eta,1.02167755376043e-18,1.61142526711617e-05
constant,0.1,901,horizontal,16,u,3.80455860736283e-20,1.06943754232699e-06
constant,0.1,901,horizontal,16,v,1.79901965361019e-20,4.28895825809222e-07
constant,0.1,901,horizontal,16,w,4.24488481919636e-08,1.05073339914005e-05
constant,0.1,901,horizontal,16,eta,4.95037443090667e-19,1.61142526711617e-05
constant,0.1,901,horizontal,24,u,5.24500454010787e-20,1.06943754232699e-06
constant,0.1,901,horizontal,24,v,4.1490405723123e-20,4.28895825809222e-07
constant,0.1,901,horizontal,24,w,1.67861206525968e-08,1.05073339914005e-05
constant,0.1,901,horizontal,24,eta,7.51849057522537e-19,1.61142526711617e-05
constant,0.1,901,horizontal,32,u,2.15779844421825e-20,1.06943754232699e-06
constant,0.1,901,horizontal,32,v,1.27768064227904e-20,4.28895825809222e-07
constant,0.1,901,horizontal,32,w,6.77708244593567e-09,1.05073339914005e-05
constant,0.1,901,horizontal,32,eta,2.77492199858855e-19,1.61142526711617e-05
constant,0.1,901,horizontal,48,u,4.9888196981483e-20,1.06943754232699e-06
constant,0.1,901,horizontal,48,v,4.42251009492886e-20,4.28895825809222e-07
constant,0.1,901,horizontal,48,w,2.774238060582e-09,1.05073339914005e-05
constant,0.1,901,horizontal,48,eta,7.34058446285443e-19,1.61142526711617e-05
constant,0.1,901,horizontal,64,u,0,1.06943754232699e-06
constant,0.1,901,horizontal,64,v,0,4.28895825809222e-07
constant,0.1,901,horizontal,64,w,0,1.05073339914005e-05
constant,0.1,901,horizontal,64,eta,0,1.61142526711617e-05
constant,0.1,901,vertical,9,u,6.53651261859012e-10,1.06943754232699e-06
constant,0.1,901,vertical,9,v,4.90256633977296e-10,4.28895825809222e-07
constant,0.1,901,vertical,9,w,3.05786726961543e-05,1.05073339914005e-05
constant,0.1,901,vertical,9,eta,2.16507349950744e-08,1.61142526711617e-05
constant,0.1,901,vertical,13,u,3.6345044203499e-13,1.06943754232699e-06
constant,0.1,901,vertical,13,v,2.81764500718065e-13,4.28895825809222e-07
constant,0.1,901,vertical,13,w,2.43323032791092e-05,1.05073339914005e-05
constant,0.1,901,vertical,13,eta,8.51855800094449e-12,1.61142526711617e-05
constant,0.1,901,vertical,17,u,5.28330964435096e-17,1.06943754232699e-06
constant,0.1,901,vertical,17,v,5.66711118588781e-17,4.28895825809222e-07
constant,0.1,901,vertical,17,w,2.04472290573545e-05,1.05073339914005e-05
constant,0.1,901,vertical,17,eta,1.20339938540659e-15,1.61142526711617e-05
constant,0.1,901,vertical,25,u,1.70502919928698e-18,1.06943754232699e-06
constant,0.1,901,vertical,25,v,1.5500559069839e-18,4.28895825809222e-07
constant,0.1,901,vertical,25,w,1.55963800772846e-05,1.05073339914005e-05
constant,0.1,901,vertical,25,eta,2.01342601736261e-16,1.61142526711617e-05
constant,0.1,901,vertical,33,u,1.68967466959753e-18,1.06943754232699e-06
constant,0.1,901,vertical,33,v,1.54426556961663e-18,4.28895825809222e-07
constant,0.1,901,vertical,33,w,1.25100364082484e-05,1.05073339914005e-05
constant,0.1,901,vertical,33,eta,2.01056316777685e-16,1.61142526711617e-05
constant,0.1,901,vertical,49,u,1.67669037544353e-18,1.06943754232699e-06
constant,0.1,901,vertical,49,v,1.54059761771874e-18,4.28895825809222e-07
constant,0.1,901,vertical,49,w,8.55072371075939e-06,1.05073339914005e-05
constant,0.1,901,vertical,49,eta,2.01798180155801e-16,1.61142526711617e-05
