family,absoluteError,referenceNorm,relativeError,referenceChange,allowanceFraction,referenceFraction,profile,amplitude,time,count,order,status
Amda,8.60442533892096e-14,1.42889198698381e-09,6.02174651219347e-05,9.07594360919165e-22,0.0602174236143681,6.35173080970162e-08,constant,0.01,327,9,8,rejected
Ag_q,7.44693213635521e-18,1.85407120919833e-14,0.000401652973165748,3.50890466890758e-26,0.381098300634572,1.79568925246442e-07,constant,0.01,327,9,16,rejected
Ag_0,8.35750951459149e-14,2.59122819141429e-12,0.0322530819257178,4.1519570922478e-22,32.2406398626168,1.60169428987752e-05,constant,0.01,327,9,16,rejected
Aw_p,3.97606140562959e-12,7.03471799653587e-09,0.000565205514647145,9.26381328634351e-19,0.565205565989041,1.31687040959352e-05,constant,0.01,327,9,16,rejected
Aw_m,5.44578476717805e-12,3.58373680006884e-09,0.00151958279053122,9.26381328187398e-19,1.51958262500531,2.58495844246642e-05,constant,0.01,327,9,16,rejected
Aio,1.65521210613536e-12,6.07380887208266e-09,0.000272516330525856,1.01117488620911e-23,0.272516285660076,1.66481155568735e-10,constant,0.01,327,9,16,rejected
Amda,8.60442533892096e-14,1.42889198698381e-09,6.02174651219347e-05,9.07594360919165e-22,0.0602174236143681,6.35173080970162e-08,constant,0.01,327,9,16,rejected
Ag_q,3.0961292820101e-21,1.85407120919833e-14,1.66990850548228e-07,3.50890466890758e-26,0.000158446854775933,1.79568925246442e-07,constant,0.01,327,13,0,rejected
Ag_0,3.35560439657923e-17,2.59122819141429e-12,1.29498606402076e-05,4.1519570922478e-22,0.0129450251612276,1.60169428987752e-05,constant,0.01,327,13,0,rejected
Aw_p,8.15838576257415e-11,7.03471799653587e-09,0.0115973174284905,9.26381328634351e-19,11.5973159115947,1.31687040959352e-05,constant,0.01,327,13,0,rejected
Aw_m,8.15838442095138e-11,3.58373680006884e-09,0.0227650211946219,9.26381328187398e-19,22.7650151008056,2.58495844246642e-05,constant,0.01,327,13,0,rejected
Aio,2.76295841624898e-15,6.07380887208266e-09,4.54897161639132e-07,1.01117488620911e-23,0.00045489708840908,1.66481155568735e-10,constant,0.01,327,13,0,rejected
Amda,4.57509703372109e-17,1.42889198698381e-09,3.20184945775956e-08,9.07594360919165e-22,3.20191073427741e-05,6.35173080970162e-08,constant,0.01,327,13,0,rejected
Ag_q,3.0961292820101e-21,1.85407120919833e-14,1.66990850548228e-07,3.50890466890758e-26,0.000158446854775933,1.79568925246442e-07,constant,0.01,327,13,8,assessed
Ag_0,3.35560439657923e-17,2.59122819141429e-12,1.29498606402076e-05,4.1519570922478e-22,0.0129450251612276,1.60169428987752e-05,constant,0.01,327,13,8,assessed
Aw_p,6.10591570199147e-15,7.03471799653587e-09,8.6796879491093e-07,9.26381328634351e-19,0.000868100358568312,1.31687040959352e-05,constant,0.01,327,13,8,assessed
Aw_m,8.34453349854453e-15,3.58373680006884e-09,2.32844485074469e-06,9.26381328187398e-19,0.00232870269686371,2.58495844246642e-05,constant,0.01,327,13,8,assessed
Aio,2.76295841624898e-15,6.07380887208266e-09,4.54897161639132e-07,1.01117488620911e-23,0.00045489708840908,1.66481155568735e-10,constant,0.01,327,13,8,assessed
Amda,4.57509703372109e-17,1.42889198698381e-09,3.20184945775956e-08,9.07594360919165e-22,3.20191073427741e-05,6.35173080970162e-08,constant,0.01,327,13,8,assessed
Ag_q,3.0961292820101e-21,1.85407120919833e-14,1.66990850548228e-07,3.50890466890758e-26,0.000158446854775933,1.79568925246442e-07,constant,0.01,327,13,16,assessed
Ag_0,3.35560439657923e-17,2.59122819141429e-12,1.29498606402076e-05,4.1519570922478e-22,0.0129450251612276,1.60169428987752e-05,constant,0.01,327,13,16,assessed
Aw_p,6.10591570199145e-15,7.03471799653587e-09,8.67968794910927e-07,9.26381328634351e-19,0.000868100358568309,1.31687040959352e-05,constant,0.01,327,13,16,assessed
Aw_m,8.34453349854457e-15,3.58373680006884e-09,2.3284448507447e-06,9.26381328187398e-19,0.00232870269686372,2.58495844246642e-05,constant,0.01,327,13,16,assessed
Aio,2.76295841624898e-15,6.07380887208266e-09,4.54897161639132e-07,1.01117488620911e-23,0.00045489708840908,1.66481155568735e-10,constant,0.01,327,13,16,assessed
Amda,4.57509703372109e-17,1.42889198698381e-09,3.20184945775956e-08,9.07594360919165e-22,3.20191073427741e-05,6.35173080970162e-08,constant,0.01,327,13,16,assessed
